Drug_ID,Drug_Name,Company,Region,Sale_Date,Approval_Date,Category,Units_Sold,Price_INR,Revenue_INR,Batch_Number,Manufacturing_Plant,Side_Effects_Reported,Clinical_Trial_Phase,Success_Rate,Regulatory_Status,Doctor_Prescriptions,Customer_Rating,Distribution_Channel,Country,Marketing_Spend_INR
14,Losartan,Biocon,SOUTH,2025-01-01 13:00:00,2018-01-28,Vaccine,869,30288.4,26320619.6,3339,Bangalore,19,Phase 4,50.45,Rejected,63,2.0,Retail Pharmacy,India,1871785.26
15,Metformin,Cadila, North Region,2025-01-01 14:00:00,2019-04-19,Antidiabetic,269,39841.69,10717414.61,1070,Mumbai,31,Phase 2,95.76,Rejected,26,4.2,Distributor,India,2387143.1
16,Metformin,Torrent,WEST,2025-01-01 15:00:00,2020-10-24,Gastrointestinal,463,13758.52,6370194.76,4288,Bangalore,10,Phase 2,74.74,Approved,37,1.8,Distributor,India,2281453.42
17,Amoxicillin,Cipla,SOUTH,2025-01-01 16:00:00,2023-11-05,Vaccine,54,15845.63,855664.0199999999,2427,Pune,42,Phase 4,79.57,Approved,93,1.6,Hospital,India,4201285.55
18,Losartan,Dr. Reddy's,souTh,2025-01-01 17:00:00,2021-07-03,Analgesic,93,30194.51,2808089.43,4802,Ahmedabad,28,Phase 3,98.98,Approved,89,1.5,Online,India,516002.32
19,Amlodipine,Zydus,Central,2025-01-01 18:00:00,2022-06-09,Antidiabetic,815,4061.94,3310481.1,4028,Ahmedabad,28,Phase 3,65.95,Pending,34,2.7,Retail Pharmacy,India,2336942.91
20,Metformin,Torrent,north,2025-01-01 19:00:00,2016-02-12,Analgesic,255,2269.76,578788.8,3820,Hyderabad,16,Phase 3,56.5,Approved,89,2.4,Distributor,India,194206.38
21,Ciprofloxacin,Dr. Reddy's,SOUTH,2025-01-01 20:00:00,2021-08-13,Vaccine,699,9695.24,6776972.76,1683,Pune,45,Phase 4,73.15,Pending,58,1.8,Retail Pharmacy,India,3080231.48
22,Paracetamol,Cipla,north,2025-01-01 21:00:00,2022-04-16,Antibiotic,97,36524.36,3542862.92,3361,Hyderabad,40,Phase 1,99.71,Approved,31,1.2,Online,India,2600588.06
23,Amlodipine,Sun Pharma,East Zone,2025-01-01 22:00:00,2021-06-28,Cardiovascular,777,4017.67,3121729.59,3832,Mumbai,27,Phase 3,85.29,Approved,77,2.6,Online,India,2786898.76
24,Ciprofloxacin,Sun Pharma, North Region,2025-01-01 23:00:00,2017-11-27,Antidiabetic,88,4223.96,371708.48,4590,Hyderabad,29,Phase 2,95.48,Pending,90,2.9,Retail Pharmacy,India,3882489.65
25,Amlodipine,Cadila,Central,2025-01-02 00:00:00,2019-10-07,Gastrointestinal,321,38643.21,12404470.41,1144,Bangalore,13,Phase 3,94.22,Pending,93,4.3,Distributor,India,3022305.75
26,Losartan,Lupin,north,2025-01-02 01:00:00,2017-04-13,Gastrointestinal,789,11393.65,8989589.85,4413,Hyderabad,26,Phase 2,79.94,Rejected,56,1.9,Retail Pharmacy,India,1911352.24
27,Atorvastatin,Sun Pharma,souTh,2025-01-02 02:00:00,2022-09-28,Antidiabetic,589,28569.58,16827482.62,4905,Hyderabad,34,Phase 3,73.31,Pending,35,3.1,Online,India,2362019.98
28,Metformin,Cadila,SOUTH,2025-01-02 03:00:00,2022-09-08,Gastrointestinal,337,38588.25,13004240.25,3497,Mumbai,48,Phase 2,80.73,Approved,81,4.1,Retail Pharmacy,India,200805.42
29,Metformin,Biocon,Central,2025-01-02 04:00:00,2023-09-21,Cardiovascular,300,35593.35,10678005.0,2052,Bangalore,47,Phase 1,65.1,Approved,48,2.8,Hospital,India,4551975.94
30,,Lupin,Central,2025-01-02 05:00:00,2022-11-29,Gastrointestinal,402,27304.54,10976425.08,1288,Hyderabad,19,Phase 3,53.2,Approved,42,1.5,Retail Pharmacy,India,1730092.53
31,Atorvastatin,Cadila,East Zone,2025-01-02 06:00:00,2021-11-19,Vaccine,330,31404.84,10363597.2,2272,Pune,8,Phase 4,99.73,Rejected,19,4.0,Retail Pharmacy,India,1145596.05
32,Losartan,Sun Pharma,west region,2025-01-02 07:00:00,2024-03-10,Cardiovascular,110,9562.15,1051836.5,3302,Pune,23,Phase 3,68.63,Approved,43,2.4,Distributor,India,2493196.01
33,Ciprofloxacin,Cipla,south ,2025-01-02 08:00:00,2017-10-16,Antidiabetic,847,14792.3,12529078.1,3084,Ahmedabad,5,Phase 1,85.96,Rejected,90,2.4,Distributor,India,3479685.28
34,Azithromycin,Dr. Reddy's,WEST,2025-01-02 09:00:00,2018-12-20,Cardiovascular,324,9094.96,2946767.04,3301,Ahmedabad,15,Phase 1,62.26,Rejected,67,2.8,Online,India,3613124.41
35,Amlodipine,Cipla,south ,2025-01-02 10:00:00,2022-11-20,Vaccine,379,3052.05,1156726.95,3940,Hyderabad,7,Phase 1,56.13,Approved,52,2.1,Online,India,3504258.34
36,Atorvastatin,Aurobindo,WEST,2025-01-02 11:00:00,2019-12-08,Vaccine,749,23753.24,17791176.76,1383,Pune,11,Phase 2,80.41,Approved,45,3.0,Retail Pharmacy,India,3736438.34
37,Amoxicillin,Biocon,north,2025-01-02 12:00:00,2023-07-21,Vaccine,777,33876.74,26322226.98,2598,Mumbai,42,Phase 1,75.77,Rejected,62,2.0,Online,India,556520.76
38,Ciprofloxacin,Lupin,NORTH ,2025-01-02 13:00:00,2017-07-26,Analgesic,342,1437.41,491594.22,4296,Hyderabad,18,Phase 1,98.14,Pending,44,1.9,Distributor,India,4030221.96
39,Ciprofloxacin,Dr. Reddy's,west region,2025-01-02 14:00:00,2022-12-04,Antidiabetic,299,22376.4,6690543.600000001,4738,Hyderabad,1,Phase 1,98.42,Pending,91,4.8,Hospital,India,1869595.19
40,Ciprofloxacin,Glenmark,Central,2025-01-02 15:00:00,2023-05-18,Cardiovascular,833,25465.51,21212769.83,2079,Hyderabad,0,Phase 4,50.82,Rejected,97,3.4,Retail Pharmacy,India,1747172.44
41,Paracetamol,Cadila,south ,2025-01-02 16:00:00,2017-02-05,Antibiotic,600,22885.05,13731030.0,3755,Mumbai,26,Phase 3,86.31,Pending,78,3.9,Distributor,India,2144346.31
42,Atorvastatin,Dr. Reddy's,Central,2025-01-02 17:00:00,2021-11-22,Antibiotic,13,8945.78,116295.14,4753,Bangalore,18,Phase 3,73.97,Approved,23,4.4,Online,India,1982376.97
43,Ibuprofen,Biocon,souTh,2025-01-02 18:00:00,2021-04-10,Analgesic,679,17292.39,11741532.81,4234,Hyderabad,49,Phase 2,51.7,Rejected,10,2.8,Retail Pharmacy,India,906173.77
44,Losartan,Cadila,west region,2025-01-02 19:00:00,2021-10-25,Antibiotic,969,31257.22,30288246.18,3103,Ahmedabad,12,Phase 3,80.96,Pending,65,1.1,Distributor,India,2075570.22
45,Metformin,Cipla,WEST,2025-01-02 20:00:00,2019-09-06,Antibiotic,435,37117.24,16145999.4,1320,Ahmedabad,28,Phase 1,79.22,Approved,69,3.2,Retail Pharmacy,India,3464357.9
46,Ibuprofen,Lupin,north,2025-01-02 21:00:00,2023-06-30,Antibiotic,441,24241.46,10690483.86,1537,Hyderabad,21,Phase 1,97.11,Pending,83,3.1,Online,India,199614.65
47,Losartan,Aurobindo,north,2025-01-02 22:00:00,2016-07-24,Antibiotic,304,17263.05,5247967.2,3058,Bangalore,26,Phase 2,75.33,Rejected,18,4.4,Hospital,India,883779.3
48,Atorvastatin,Biocon, North Region,2025-01-02 23:00:00,2024-10-29,Analgesic,92,10969.06,1009153.52,3232,Pune,38,Phase 4,77.91,Approved,85,2.1,Online,India,2266712.99
49,Metformin,Sun Pharma,East Zone,2025-01-03 00:00:00,2017-11-23,Gastrointestinal,827,21608.75,17870436.25,2632,Ahmedabad,33,Phase 3,69.59,Approved,71,4.3,Hospital,India,1608510.74
50,Amoxicillin,Zydus,souTh,2025-01-03 01:00:00,2022-03-16,Antibiotic,99,26633.62,2636728.38,4179,Pune,18,Phase 4,83.29,Pending,27,3.4,Online,India,2750742.36
51,Metformin,Cipla,West ,2025-01-03 02:00:00,2022-09-02,Antidiabetic,658,18103.32,11911984.56,1702,Pune,35,Phase 4,93.5,Rejected,75,4.1,Hospital,India,704143.82
52,Metformin,Lupin,West ,2025-01-03 03:00:00,2019-01-13,Analgesic,628,13476.88,8463480.639999999,2427,Mumbai,24,Phase 4,59.13,Pending,75,4.3,Online,India,4109703.34
53,Ciprofloxacin,Zydus,WEST,2025-01-03 04:00:00,2023-07-11,Vaccine,419,10863.38,4551756.22,4597,Ahmedabad,35,Phase 3,98.92,Approved,39,4.0,Retail Pharmacy,India,601550.03
54,Atorvastatin,Sun Pharma,NORTH ,2025-01-03 05:00:00,2019-04-13,Antidiabetic,915,28007.36,25626734.4,3691,Pune,44,Phase 2,77.55,Approved,37,1.8,Hospital,India,4245307.41
55,Losartan,Torrent,Central,2025-01-03 06:00:00,2017-11-06,Gastrointestinal,32,15583.47,498671.04,1974,Hyderabad,11,Phase 1,90.75,Approved,47,4.1,Hospital,India,3642258.87
56,Azithromycin,Cipla, east,2025-01-03 07:00:00,2016-11-14,Antidiabetic,566,23524.75,13315008.5,4535,Ahmedabad,11,Phase 2,62.83,Pending,46,2.1,Distributor,India,1675466.66
57,,Cipla,souTh,2025-01-03 08:00:00,2015-11-24,Cardiovascular,838,13362.95,11198152.1,2585,Mumbai,8,Phase 1,88.46,Rejected,63,1.4,Retail Pharmacy,India,4789489.23
58,Ciprofloxacin,Dr. Reddy's,Central,2025-01-03 09:00:00,2020-09-26,Antibiotic,652,34858.69,22727865.880000003,3262,Ahmedabad,20,Phase 1,85.54,Pending,77,1.7,Retail Pharmacy,India,3533605.19
59,Azithromycin,Lupin,NORTH ,2025-01-03 10:00:00,2022-05-15,Analgesic,715,33000.8,23595572.000000004,2938,Mumbai,13,Phase 4,92.73,Rejected,94,2.5,Online,India,1245542.74
60,Omeprazole,Cipla,souTh,2025-01-03 11:00:00,2023-07-26,Antidiabetic,651,37631.2,24497911.2,1425,Mumbai,17,Phase 1,98.39,Pending,34,4.4,Retail Pharmacy,India,3544232.74
61,Azithromycin,Torrent,SOUTH,2025-01-03 12:00:00,2019-10-27,Vaccine,266,21111.4,5615632.4,2854,Mumbai,46,Phase 1,54.56,Pending,12,3.3,Online,India,4231518.35
62,Amlodipine,Aurobindo,East Zone,2025-01-03 13:00:00,2019-09-10,Antidiabetic,444,3998.86,1775493.84,4238,Bangalore,39,Phase 2,65.48,Approved,41,2.9,Online,India,4462492.47
63,Amoxicillin,Cipla,Central,2025-01-03 14:00:00,2024-09-09,Antidiabetic,42,39503.91,1659164.2200000002,4843,Mumbai,43,Phase 1,79.63,Rejected,11,1.6,Retail Pharmacy,India,2919809.02
64,Amoxicillin,Lupin,north,2025-01-03 15:00:00,2023-07-10,Antidiabetic,797,28455.72,22679208.84,2781,Hyderabad,40,Phase 2,71.22,Rejected,47,3.8,Online,India,4346133.02
65,Ibuprofen,Aurobindo,EAST,2025-01-03 16:00:00,2020-03-28,Gastrointestinal,253,6098.78,1542991.34,1525,Mumbai,10,Phase 4,61.16,Rejected,54,2.2,Retail Pharmacy,India,2894298.52
66,,Dr. Reddy's,East Zone,2025-01-03 17:00:00,2015-07-03,Cardiovascular,266,12411.53,3301466.98,3516,Hyderabad,38,Phase 4,80.34,Rejected,16,2.4,Online,India,164064.38
67,Metformin,Zydus,Central,2025-01-03 18:00:00,2019-07-02,Cardiovascular,723,12086.08,8738235.84,2392,Bangalore,31,Phase 2,55.85,Pending,99,4.8,Retail Pharmacy,India,1859048.69
68,Metformin,Biocon,WEST,2025-01-03 19:00:00,2022-11-19,Cardiovascular,231,8471.86,1956999.66,1749,Mumbai,3,Phase 4,80.06,Approved,74,4.6,Online,India,2396587.74
69,Atorvastatin,Biocon, North Region,2025-01-03 20:00:00,2018-05-09,Gastrointestinal,760,38115.05,28967438.000000004,4998,Ahmedabad,25,Phase 2,79.31,Approved,89,4.3,Hospital,India,3068030.29
70,Omeprazole,Cadila,north,2025-01-03 21:00:00,2015-03-11,Gastrointestinal,679,21129.49,14346923.71,4699,Mumbai,19,Phase 4,81.9,Rejected,59,4.0,Online,India,1412302.83
71,Amlodipine,Dr. Reddy's,SOUTH,2025-01-03 22:00:00,2023-09-12,Cardiovascular,730,1681.33,1227370.9,2651,Ahmedabad,46,Phase 4,79.39,Pending,28,1.8,Distributor,India,4539218.16
72,Omeprazole,Cipla,East Zone,2025-01-03 23:00:00,2018-04-04,Antibiotic,819,1608.19,1317107.61,4041,Hyderabad,36,Phase 1,71.55,Rejected,95,2.0,Hospital,India,3194706.26
73,Losartan,Glenmark,WEST,2025-01-04 00:00:00,2024-06-25,Vaccine,757,25884.78,19594778.46,1358,Bangalore,4,Phase 1,68.8,Approved,24,4.3,Distributor,India,4181118.7
74,Metformin,Lupin, east,2025-01-04 01:00:00,2022-01-07,Analgesic,824,30950.82,25503475.68,3503,Bangalore,8,Phase 4,84.96,Rejected,30,1.1,Retail Pharmacy,India,67752.19
75,Azithromycin,Glenmark,WEST,2025-01-04 02:00:00,2019-08-11,Antibiotic,199,38822.12,7725601.880000001,4178,Ahmedabad,19,Phase 4,75.19,Rejected,62,1.7,Retail Pharmacy,India,555726.13
76,Losartan,Cadila,NORTH ,2025-01-04 03:00:00,2023-12-03,Vaccine,595,34551.91,20558386.450000003,2947,Bangalore,21,Phase 2,53.02,Pending,28,4.3,Retail Pharmacy,India,4580639.62
77,Ciprofloxacin,Cipla,West ,2025-01-04 04:00:00,2023-08-12,Vaccine,546,38992.64,21289981.44,1051,Hyderabad,37,Phase 2,82.7,Rejected,48,2.1,Hospital,India,2753317.48
78,Omeprazole,Torrent,Central,2025-01-04 05:00:00,2020-12-03,Antidiabetic,958,12396.12,11875482.96,3656,Ahmedabad,30,Phase 4,72.03,Pending,44,4.3,Retail Pharmacy,India,4903387.81
79,Ciprofloxacin,Zydus,Central,2025-01-04 06:00:00,2024-04-06,Cardiovascular,904,34187.56,30905554.24,2062,Bangalore,45,Phase 1,50.59,Rejected,10,2.1,Distributor,India,320264.96
80,Omeprazole,Sun Pharma,WEST,2025-01-04 07:00:00,2022-05-28,Analgesic,558,27274.93,15219410.94,4605,Mumbai,43,Phase 4,79.04,Rejected,19,3.8,Hospital,India,2796122.95
81,Atorvastatin,Glenmark, east,2025-01-04 08:00:00,2022-01-24,Gastrointestinal,239,24823.54,5932826.0600000005,2327,Pune,10,Phase 4,54.12,Approved,81,1.8,Retail Pharmacy,India,641622.37
82,Atorvastatin,Lupin,Central,2025-01-04 09:00:00,2021-07-13,Antibiotic,843,9116.02,7684804.86,1409,Pune,29,Phase 2,99.04,Rejected,44,4.7,Distributor,India,713850.28
83,Ciprofloxacin,Cadila,Central,2025-01-04 10:00:00,2017-01-10,Cardiovascular,102,34803.56,3549963.12,2648,Mumbai,8,Phase 1,60.74,Approved,23,3.3,Retail Pharmacy,India,1756406.53
84,Metformin,Biocon, east,2025-01-04 11:00:00,2018-04-27,Cardiovascular,306,22280.68,6817888.08,1147,Mumbai,15,Phase 4,79.72,Approved,18,4.3,Distributor,India,3437482.57
85,Amoxicillin,Zydus,west region,2025-01-04 12:00:00,2019-02-01,Gastrointestinal,232,37496.86,8699271.52,3305,Mumbai,33,Phase 1,59.58,Approved,60,2.6,Online,India,1803225.36
86,Metformin,Cipla,south ,2025-01-04 13:00:00,2021-06-11,Cardiovascular,50,1756.86,87843.0,3024,Ahmedabad,25,Phase 1,58.19,Rejected,62,3.8,Distributor,India,4756676.92
87,Amoxicillin,Dr. Reddy's,SOUTH,2025-01-04 14:00:00,2017-09-23,Gastrointestinal,934,36879.62,34445565.080000006,3587,Mumbai,8,Phase 3,92.7,Approved,92,4.3,Distributor,India,921203.21
88,Amlodipine,Cipla,East Zone,2025-01-04 15:00:00,2017-10-12,Antibiotic,761,7235.46,5506185.06,3774,Ahmedabad,9,Phase 4,99.04,Pending,41,4.1,Distributor,India,4341829.14
89,Metformin,Aurobindo,west region,2025-01-04 16:00:00,2021-05-18,Antidiabetic,110,22113.17,2432448.7,1135,Ahmedabad,49,Phase 4,83.23,Approved,46,3.4,Hospital,India,3874189.29
90,Omeprazole,Sun Pharma,SOUTH,2025-01-04 17:00:00,2022-04-19,Analgesic,270,24215.36,6538147.2,3984,Mumbai,48,Phase 1,69.59,Approved,57,4.1,Distributor,India,1352982.35
91,Azithromycin,Torrent,Central,2025-01-04 18:00:00,2019-03-23,Vaccine,932,25601.56,23860653.92,4185,Bangalore,28,Phase 3,53.17,Approved,65,5.0,Hospital,India,1838157.54
92,Azithromycin,Torrent,south ,2025-01-04 19:00:00,2023-07-26,Antibiotic,40,34662.14,1386485.6,1170,Hyderabad,33,Phase 4,68.24,Pending,19,1.5,Online,India,2192587.87
93,Omeprazole,Cipla,west region,2025-01-04 20:00:00,2020-04-04,Cardiovascular,465,31664.03,14723773.95,3004,Mumbai,41,Phase 4,86.55,Pending,84,3.7,Distributor,India,4008443.28
94,Omeprazole,Cipla,souTh,2025-01-04 21:00:00,2020-06-03,Vaccine,129,34270.31,4420869.989999999,3421,Pune,10,Phase 1,81.22,Approved,38,1.2,Online,India,1657287.06
95,Ibuprofen,Cadila,west region,2025-01-04 22:00:00,2016-12-21,Cardiovascular,176,29557.72,5202158.720000001,3796,Bangalore,36,Phase 3,95.82,Rejected,71,2.6,Retail Pharmacy,India,4938092.39
96,Ciprofloxacin,Glenmark,west region,2025-01-04 23:00:00,2020-12-15,Antidiabetic,272,12132.63,3300075.36,1068,Mumbai,27,Phase 3,66.17,Rejected,10,2.5,Online,India,3203330.71
97,Atorvastatin,Cadila,EAST,2025-01-05 00:00:00,2022-06-29,Vaccine,592,6672.41,3950066.72,1875,Hyderabad,19,Phase 2,60.69,Rejected,46,2.7,Hospital,India,4979902.11
98,Ciprofloxacin,Sun Pharma,Central,2025-01-05 01:00:00,2016-10-21,Gastrointestinal,436,30782.24,13421056.64,3642,Mumbai,13,Phase 2,97.1,Approved,91,2.3,Hospital,India,1580982.62
99,Atorvastatin,Torrent, east,2025-01-05 02:00:00,2022-12-12,Gastrointestinal,60,3710.16,222609.6,4365,Bangalore,1,Phase 2,94.74,Rejected,89,2.4,Retail Pharmacy,India,2982602.75
100,Omeprazole,Biocon,East Zone,2025-01-05 03:00:00,2017-02-24,Antibiotic,459,10150.39,4659029.01,1950,Ahmedabad,24,Phase 2,52.5,Approved,14,2.2,Distributor,India,4698796.52
101,Ibuprofen,Lupin, east,2025-01-05 04:00:00,2020-05-19,Antidiabetic,830,19407.9,16108557.000000002,3345,Bangalore,48,Phase 2,50.35,Rejected,27,1.3,Distributor,India,4546820.71
102,Azithromycin,Aurobindo,WEST,2025-01-05 05:00:00,2017-12-29,Antibiotic,430,35008.65,15053719.5,2780,Bangalore,12,Phase 2,82.02,Pending,81,1.4,Hospital,India,1040706.29
103,Amlodipine,Biocon,NORTH ,2025-01-05 06:00:00,2022-09-18,Vaccine,133,27874.67,3707331.11,3765,Ahmedabad,33,Phase 1,95.9,Rejected,73,4.9,Retail Pharmacy,India,4534971.25
104,Amoxicillin,Glenmark,WEST,2025-01-05 07:00:00,2019-07-08,Antidiabetic,197,7673.51,1511681.47,3980,Hyderabad,32,Phase 4,74.59,Approved,79,1.1,Retail Pharmacy,India,3324202.05
105,Azithromycin,Glenmark,EAST,2025-01-05 08:00:00,2017-03-04,Analgesic,977,26841.12,26223774.24,2471,Hyderabad,30,Phase 2,56.11,Pending,82,2.0,Online,India,4498578.44
106,Metformin,Biocon,West ,2025-01-05 09:00:00,2016-03-03,Gastrointestinal,463,26426.9,12235654.7,1946,Pune,17,Phase 2,59.45,Approved,64,3.0,Online,India,1458130.36
107,Losartan,Cadila,south ,2025-01-05 10:00:00,2020-08-20,Cardiovascular,639,15746.57,10062058.23,4995,Ahmedabad,37,Phase 1,77.56,Rejected,59,1.5,Hospital,India,1289684.59
108,Ibuprofen,Dr. Reddy's,SOUTH,2025-01-05 11:00:00,2020-06-03,Gastrointestinal,624,31905.03,19908738.72,4974,Ahmedabad,26,Phase 2,91.41,Approved,12,4.6,Hospital,India,1832730.54
109,Ciprofloxacin,Torrent,Central,2025-01-05 12:00:00,2019-12-09,Cardiovascular,31,14740.99,456970.69,1837,Hyderabad,33,Phase 3,52.79,Pending,26,2.5,Distributor,India,341493.25
110,Atorvastatin,Torrent,west region,2025-01-05 13:00:00,2023-12-02,Antibiotic,837,33568.8,28097085.6,3565,Bangalore,44,Phase 3,97.17,Approved,38,4.3,Distributor,India,4202712.86
111,Ibuprofen,Torrent,south ,2025-01-05 14:00:00,2019-09-08,Antibiotic,352,27084.83,9533860.16,4553,Ahmedabad,26,Phase 3,69.37,Rejected,67,3.7,Retail Pharmacy,India,2488995.44
112,Losartan,Dr. Reddy's,NORTH ,2025-01-05 15:00:00,2021-07-11,Analgesic,259,18911.59,4898101.81,4082,Ahmedabad,2,Phase 1,60.04,Approved,23,4.3,Distributor,India,2452494.98
113,Atorvastatin,Biocon,EAST,2025-01-05 16:00:00,2015-02-21,Cardiovascular,584,17112.12,9993478.08,2135,Ahmedabad,18,Phase 1,66.45,Rejected,93,1.3,Distributor,India,4399715.89
114,Paracetamol,Aurobindo,Central,2025-01-05 17:00:00,2023-06-25,Cardiovascular,334,5861.67,1957797.78,1913,Pune,46,Phase 3,75.5,Rejected,55,3.1,Retail Pharmacy,India,1019909.97
115,Atorvastatin,Sun Pharma,Central,2025-01-05 18:00:00,2021-03-06,Analgesic,824,11262.98,9280695.52,3294,Mumbai,33,Phase 2,56.0,Approved,47,3.5,Online,India,896871.84
116,Amoxicillin,Aurobindo,SOUTH,2025-01-05 19:00:00,2020-06-05,Antibiotic,543,33476.29,18177625.47,1958,Bangalore,6,Phase 3,77.74,Pending,42,4.7,Hospital,India,4054968.6
117,Omeprazole,Torrent,south ,2025-01-05 20:00:00,2019-07-02,Antidiabetic,779,29233.03,22772530.37,4262,Hyderabad,3,Phase 2,65.43,Approved,23,3.9,Hospital,India,3947030.39
118,Losartan,Biocon, east,2025-01-05 21:00:00,2015-10-15,Antibiotic,553,20559.29,11369287.37,2916,Pune,1,Phase 4,53.84,Approved,67,4.4,Hospital,India,3157637.92
119,Ibuprofen,Aurobindo,SOUTH,2025-01-05 22:00:00,2024-09-13,Antibiotic,908,30110.69,27340506.52,2368,Hyderabad,27,Phase 3,94.02,Pending,63,4.3,Hospital,India,4288926.9
120,Losartan,Dr. Reddy's,WEST,2025-01-05 23:00:00,2017-01-21,Antidiabetic,681,28862.37,19655273.97,2617,Mumbai,31,Phase 1,99.07,Approved,13,4.2,Retail Pharmacy,India,2249888.21
121,Atorvastatin,Torrent,west region,2025-01-06 00:00:00,2020-06-04,Vaccine,389,748.35,291108.15,2308,Pune,7,Phase 4,86.14,Approved,92,3.9,Hospital,India,631251.62
122,Azithromycin,Dr. Reddy's,West ,2025-01-06 01:00:00,2020-06-14,Antibiotic,13,30634.73,398251.49,3371,Hyderabad,46,Phase 2,61.43,Rejected,70,4.4,Online,India,264358.07
123,Amlodipine,Cipla,Central,2025-01-06 02:00:00,2018-08-11,Cardiovascular,640,27679.24,17714713.6,3419,Hyderabad,33,Phase 1,60.8,Approved,35,3.2,Hospital,India,2287166.89
124,Atorvastatin,Sun Pharma,Central,2025-01-06 03:00:00,2016-02-20,Gastrointestinal,527,5766.51,3038950.77,2647,Ahmedabad,10,Phase 1,76.39,Approved,62,4.8,Hospital,India,65317.9
125,,Cipla,Central,2025-01-06 04:00:00,2017-04-06,Gastrointestinal,959,14885.44,14275136.96,3919,Bangalore,39,Phase 1,83.52,Pending,31,2.1,Online,India,1940171.9
126,Ibuprofen,Biocon,Central,2025-01-06 05:00:00,2015-12-26,Antidiabetic,486,36812.46,17890855.56,4165,Bangalore,42,Phase 1,77.87,Pending,47,4.6,Online,India,4388351.04
127,Atorvastatin,Aurobindo, North Region,2025-01-06 06:00:00,2022-01-12,Antidiabetic,222,15138.42,3360729.24,4824,Bangalore,38,Phase 1,89.04,Rejected,34,1.9,Distributor,India,3621362.97
128,Atorvastatin,Zydus,west region,2025-01-06 07:00:00,2019-09-14,Vaccine,381,27675.3,10544289.3,2724,Bangalore,1,Phase 1,84.2,Approved,49,2.5,Distributor,India,1208773.44
129,,Sun Pharma,EAST,2025-01-06 08:00:00,2019-12-14,Cardiovascular,102,16589.61,1692140.22,1754,Mumbai,43,Phase 1,93.75,Rejected,29,1.7,Online,India,1232402.36
130,Amoxicillin,Sun Pharma,Central,2025-01-06 09:00:00,2022-03-19,Cardiovascular,432,1541.57,665958.24,1028,Bangalore,12,Phase 3,98.69,Rejected,43,2.2,Online,India,937056.72
